LCT_Connections,Category,Type,Import,Export,LicenceArea,FunctionalLocation,SecondarySubstationAlias,Status,Primary_FunctionalLocation,PrimaryFeeder,Latitude,Longitude,geopoint,LocalAuthority
64,Generation,Solar PV,0,182,Eastern Power Networks (EPN),EPN-S0000003U2326,3U2326,Connected,EPN-S0000000H3076,J38 SHRUB END PRIMARY,,,"51.8800471547155, 0.836961886069388",Colchester District (B)
7,Generation,Solar PV,0,25,Eastern Power Networks (EPN),EPN-S0000005U1822,5U1822,Connected,EPN-S0000000H5063,L02 ATTLEBOROUGH PRIMARY,,,"52.5140020380155, 1.00287489567546",Breckland District
11,Generation,Solar PV,0,40,Eastern Power Networks (EPN),EPN-S0000003U0341,3U0341,Connected,EPN-S0000000H3014,A16 BRAINTREE DEPOT PRIMARY,,,"51.8777964933967, 0.621881215624565",Braintree District
7,Generation,Solar PV,0,21,Eastern Power Networks (EPN),EPN-S0000003U1413,3U1413,Connected,EPN-S0000000H3030,A47 SOUTH WOODHAM PRIMARY,,,"51.6393598303636, 0.619211799178371",Chelmsford District (B)
15,Generation,Solar PV,0,58,Eastern Power Networks (EPN),EPN-S0000001U0922,1U0922,Connected,EPN-S0000000H1036,B19 HAVERHILL PRIMARY,,,"52.0899292941225, 0.444938350558567",West Suffolk District
11,Generation,Solar PV,0,39,Eastern Power Networks (EPN),EPN-S0000003U0721,3U0721,Connected,EPN-S0000000H3019,A30 HALSTEAD PRIMARY,,,"51.9388256964849, 0.626921757510383",Braintree District
11,Generation,Solar PV,0,34,Eastern Power Networks (EPN),EPN-S0000003U3338,3U3338,Connected,EPN-S0000000H3063,J53 OLD RD PRIMARY,,,"51.7882887985587, 1.14232201104125",Tendring District
9,Generation,Solar PV,0,36,Eastern Power Networks (EPN),EPN-S0000005U0839,5U0839,Connected,EPN-S0000000H5026,H14 ALPINGTON PRIMARY,,,"52.5717402998666, 1.35714112655807",South Norfolk District
9,Generation,Solar PV,0,36,Eastern Power Networks (EPN),EPN-S0000005U2952,5U2952,Connected,EPN-S0000000H5070,L17 SPROWSTON PRIMARY,,,"52.6531240946279, 1.33370682698282",Broadland District
21,Generation,Solar PV,0,54,Eastern Power Networks (EPN),EPN-S0000005U2403,5U2403,Connected,EPN-S0000000H5045,L09 HEMBLINGTON PRIMARY,,,"52.6351516419738, 1.45273979760521",Broadland District
10,Generation,Solar PV,0,33,Eastern Power Networks (EPN),EPN-S0000005U0765,5U0765,Connected,EPN-S0000000H5020,H12 LONG RD PRIMARY,,,"52.4513523362339, 1.70935192231299",East Suffolk District
40,Generation,Solar PV,0,144,Eastern Power Networks (EPN),EPN-S0000005U0841,5U0841,Connected,EPN-S0000000H5056,H13 LOWESTOFT GRID,,,"52.4918919121472, 1.71830744334536",East Suffolk District
10,Generation,Solar PV,0,35,Eastern Power Networks (EPN),EPN-S0000007U3691,7U3691,Connected,EPN-S0000000H7031,F38 ROYSTON PRIMARY,,,"52.0602956749608, -0.02332159906117",North Hertfordshire District
10,Generation,Solar PV,0,296,Eastern Power Networks (EPN),EPN-S0000006U1029,6U1029,Connected,EPN-S0000000H6053,C17 CHATTERIS PRIMARY,,,"52.5094813107773, 0.0777853520463403",Fenland District
14,Generation,Solar PV,0,47,Eastern Power Networks (EPN),EPN-S0000005U2226,5U2226,Connected,EPN-S0000000H5050,L06 EARLHAM WEST PRIMARY,,,"52.6248617030726, 1.24873186859132",Norwich District (B)
9,Generation,Solar PV,0,78,Eastern Power Networks (EPN),EPN-S0000003U0203,3U0203,Connected,EPN-S0000000H3040,A73 SOUTH WITHAM PRIMARY,,,"51.7985914562573, 0.626413770702433",Braintree District
15,Generation,Solar PV,0,57,Eastern Power Networks (EPN),EPN-S0000005U1557,5U1557,Connected,EPN-S0000000H5032,H37 HALESWORTH PRIMARY,,,"52.3270975549627, 1.55548672720666",East Suffolk District
13,Generation,Solar PV,0,44,Eastern Power Networks (EPN),EPN-S0000005U3548,5U3548,Connected,EPN-S0000000H5038,L24 WEST BECKHAM PRIMARY,,,"52.9371191977553, 1.21039170161091",North Norfolk District
22,Generation,Solar PV,0,75,Eastern Power Networks (EPN),EPN-S0000006U1547,6U1547,Connected,EPN-S0000000F6039,C53 PETERBOROUGH SOUTH PRI,,,"52.5464976596387, -0.277490080407386",City of Peterborough (B)
